Country,Date,Total number of Cases
France,2020-03-09,1219
France,2020-03-10,1794
France,2020-03-11,2293
France,2020-03-12,2293
France,2020-03-13,3681
France,2020-03-14,4496
France,2020-03-15,4532
France,2020-03-16,6683
France,2020-03-17,7715
France,2020-03-18,9124
France,2020-03-19,10970
France,2020-03-20,12758
France,2020-03-21,14463
France,2020-03-22,16243
France,2020-03-23,20123
France,2020-03-24,22622
France,2020-03-25,25600
France,2020-03-26,29551
France,2020-03-27,33402
France,2020-03-28,38105
France,2020-03-29,40708
France,2020-03-30,45170
France,2020-03-31,52827
France,2020-04-01,57749
France,2020-04-02,59929
France,2020-04-03,65202
France,2020-04-04,69500
France,2020-04-05,71412
France,2020-04-06,75343
France,2020-04-07,79163
France,2020-04-08,83057
France,2020-04-09,87366
France,2020-04-10,91738
France,2020-04-11,94863
France,2020-04-12,121712
France,2020-04-13,125394
France,2020-04-14,130365
France,2020-04-15,133585
France,2020-04-16,146075
France,2020-04-17,148084
France,2020-04-18,148086
France,2020-04-19,153011
France,2020-04-20,155393
France,2020-04-21,158168
France,2020-04-22,155980
France,2020-04-23,158303
France,2020-04-24,159952
France,2020-04-25,161644
France,2020-04-26,162220
France,2020-04-27,165963
France,2020-04-28,169053
France,2020-04-29,166543
France,2020-04-30,167299
France,2020-05-01,167305
France,2020-05-02,168518
France,2020-05-03,168925
France,2020-05-04,169583
France,2020-05-05,170687
France,2020-05-06,174224
France,2020-05-07,174918
France,2020-05-08,176202
France,2020-05-09,176782
France,2020-05-10,177094
France,2020-05-11,177547
France,2020-05-12,178349
France,2020-05-13,178184
France,2020-05-14,178994
France,2020-05-15,179630
France,2020-05-16,179630
France,2020-05-17,179693
France,2020-05-18,180051
France,2020-05-19,180933
France,2020-05-20,181700
France,2020-05-21,181951
France,2020-05-22,182354
France,2020-05-23,182694
France,2020-05-24,182709
France,2020-05-25,183067
France,2020-05-26,182847
France,2020-05-27,183038
France,2020-05-28,186364
France,2020-05-29,186923
France,2020-05-30,188752
France,2020-05-31,189009
France,2020-06-01,189348
France,2020-06-02,188582
France,2020-06-03,188934
France,2020-06-04,189701
France,2020-06-05,190312
France,2020-06-06,190891
France,2020-06-07,191234
France,2020-06-08,191445
France,2020-06-09,191849
France,2020-06-10,192394
France,2020-06-11,192819
France,2020-06-12,193546
France,2020-06-13,194072
France,2020-06-14,194479
France,2020-06-15,194631
France,2020-06-16,194975
France,2020-06-17,195433
France,2020-06-18,195900
France,2020-06-19,196711
France,2020-06-20,197352
France,2020-06-21,197636
France,2020-06-22,198009
France,2020-06-23,198526
France,2020-06-24,198607
France,2020-06-25,198607
France,2020-06-26,200195
France,2020-06-27,200195
France,2020-06-28,199476
France,2020-06-29,201522
France,2020-06-30,202063
France,2020-07-01,202981
France,2020-07-02,203640
France,2020-07-03,204222
France,2020-07-04,204222
France,2020-07-05,204222
France,2020-07-06,205597
France,2020-07-07,206072
France,2020-07-08,206072
France,2020-07-09,207356
France,2020-07-10,208015
France,2020-07-11,208015
France,2020-07-12,208015
France,2020-07-13,209640
France,2020-07-14,209640
France,2020-07-15,210568
France,2020-07-16,211102
France,2020-07-17,211943
France,2020-07-18,211943
France,2020-07-19,211943
France,2020-07-20,214023
France,2020-07-21,214607
France,2020-07-22,215605
France,2020-07-23,216667
France,2020-07-24,217797
France,2020-07-25,217801
France,2020-07-26,217801
France,2020-07-27,220352
France,2020-07-28,221077
France,2020-07-29,221077
France,2020-07-30,222469
France,2020-07-31,225197
Germany,2020-01-22,0
Germany,2020-01-23,0
Germany,2020-01-24,0
Germany,2020-01-25,0
Germany,2020-01-26,0
Germany,2020-01-27,1
Germany,2020-01-28,4
Germany,2020-01-29,4
Germany,2020-01-30,4
Germany,2020-01-31,5
Germany,2020-02-01,8
Germany,2020-02-02,10
Germany,2020-02-03,12
Germany,2020-02-04,12
Germany,2020-02-05,12
Germany,2020-02-06,12
Germany,2020-02-07,13
Germany,2020-02-08,13
Germany,2020-02-09,14
Germany,2020-02-10,14
Germany,2020-02-11,16
Germany,2020-02-12,16
Germany,2020-02-13,16
Germany,2020-02-14,16
Germany,2020-02-15,16
Germany,2020-02-16,16
Germany,2020-02-17,16
Germany,2020-02-18,16
Germany,2020-02-19,16
Germany,2020-02-20,16
Germany,2020-02-21,16
Germany,2020-02-22,16
Germany,2020-02-23,16
Germany,2020-02-24,16
Germany,2020-02-25,17
Germany,2020-02-26,27
Germany,2020-02-27,46
Germany,2020-02-28,48
Germany,2020-02-29,79
Germany,2020-03-01,130
Germany,2020-03-02,159
Germany,2020-03-03,196
Germany,2020-03-04,262
Germany,2020-03-05,482
Germany,2020-03-06,670
Germany,2020-03-07,799
Germany,2020-03-08,1040
Germany,2020-03-09,1176
Germany,2020-03-10,1457
Germany,2020-03-11,1908
Germany,2020-03-12,2078
Germany,2020-03-13,3675
Germany,2020-03-14,4585
Germany,2020-03-15,5795
Germany,2020-03-16,7272
Germany,2020-03-17,9257
Germany,2020-03-18,12327
Germany,2020-03-19,15320
Germany,2020-03-20,19848
Germany,2020-03-21,22213
Germany,2020-03-22,24873
Germany,2020-03-23,29056
Germany,2020-03-24,32986
Germany,2020-03-25,37323
Germany,2020-03-26,43938
Germany,2020-03-27,50871
Germany,2020-03-28,57695
Germany,2020-03-29,62095
Germany,2020-03-30,66885
Germany,2020-03-31,71808
Germany,2020-04-01,77872
Germany,2020-04-02,84794
Germany,2020-04-03,91159
Germany,2020-04-04,96092
Germany,2020-04-05,100123
Germany,2020-04-06,103374
Germany,2020-04-07,107663
Germany,2020-04-08,113296
Germany,2020-04-09,118181
Germany,2020-04-10,122171
Germany,2020-04-11,124908
Germany,2020-04-12,127854
Germany,2020-04-13,130072
Germany,2020-04-14,131359
Germany,2020-04-15,134753
Germany,2020-04-16,137698
Germany,2020-04-17,141397
Germany,2020-04-18,143342
Germany,2020-04-19,145184
Germany,2020-04-20,147065
Germany,2020-04-21,148291
Germany,2020-04-22,150648
Germany,2020-04-23,153129
Germany,2020-04-24,154999
Germany,2020-04-25,156513
Germany,2020-04-26,157770
Germany,2020-04-27,158758
Germany,2020-04-28,159912
Germany,2020-04-29,161539
Germany,2020-04-30,163009
Germany,2020-05-01,164077
Germany,2020-05-02,164967
Germany,2020-05-03,165664
Germany,2020-05-04,166152
Germany,2020-05-05,167007
Germany,2020-05-06,168162
Germany,2020-05-07,169430
Germany,2020-05-08,170588
Germany,2020-05-09,171324
Germany,2020-05-10,171879
Germany,2020-05-11,172576
Germany,2020-05-12,173171
Germany,2020-05-13,174098
Germany,2020-05-14,174478
Germany,2020-05-15,175233
Germany,2020-05-16,175752
Germany,2020-05-17,176369
Germany,2020-05-18,176551
Germany,2020-05-19,177778
Germany,2020-05-20,178473
Germany,2020-05-21,179021
Germany,2020-05-22,179710
Germany,2020-05-23,179986
Germany,2020-05-24,180328
Germany,2020-05-25,180600
Germany,2020-05-26,181200
Germany,2020-05-27,181524
Germany,2020-05-28,182196
Germany,2020-05-29,182922
Germany,2020-05-30,183189
Germany,2020-05-31,183410
Germany,2020-06-01,183594
Germany,2020-06-02,183879
Germany,2020-06-03,184121
Germany,2020-06-04,184472
Germany,2020-06-05,184924
Germany,2020-06-06,185450
Germany,2020-06-07,185750
Germany,2020-06-08,186109
Germany,2020-06-09,186506
Germany,2020-06-10,186522
Germany,2020-06-11,186691
Germany,2020-06-12,187226
Germany,2020-06-13,187267
Germany,2020-06-14,187518
Germany,2020-06-15,187682
Germany,2020-06-16,188252
Germany,2020-06-17,188604
Germany,2020-06-18,189817
Germany,2020-06-19,190299
Germany,2020-06-20,190670
Germany,2020-06-21,191272
Germany,2020-06-22,191768
Germany,2020-06-23,192480
Germany,2020-06-24,192871
Germany,2020-06-25,193371
Germany,2020-06-26,194036
Germany,2020-06-27,194458
Germany,2020-06-28,194693
Germany,2020-06-29,195042
Germany,2020-06-30,195418
Germany,2020-07-01,195893
Germany,2020-07-02,196370
Germany,2020-07-03,196780
Germany,2020-07-04,197198
Germany,2020-07-05,197523
Germany,2020-07-06,198064
Germany,2020-07-07,198343
Germany,2020-07-08,198699
Germany,2020-07-09,199001
Germany,2020-07-10,199332
Germany,2020-07-11,199709
Germany,2020-07-12,199919
Germany,2020-07-13,200180
Germany,2020-07-14,200456
Germany,2020-07-15,200890
Germany,2020-07-16,201450
Germany,2020-07-17,202045
Germany,2020-07-18,202426
Germany,2020-07-19,202735
Germany,2020-07-20,203325
Germany,2020-07-21,203717
Germany,2020-07-22,204276
Germany,2020-07-23,204881
Germany,2020-07-24,205623
Germany,2020-07-25,206278
Germany,2020-07-26,206667
Germany,2020-07-27,207112
Germany,2020-07-28,207707
Germany,2020-07-29,208546
Germany,2020-07-30,209535
Germany,2020-07-31,210399
India,2020-01-22,0
India,2020-01-23,0
India,2020-01-24,0
India,2020-01-25,0
India,2020-01-26,0
India,2020-01-27,0
India,2020-01-28,0
India,2020-01-29,0
India,2020-01-30,1
India,2020-01-31,1
India,2020-02-01,1
India,2020-02-02,2
India,2020-02-03,3
India,2020-02-04,3
India,2020-02-05,3
India,2020-02-06,3
India,2020-02-07,3
India,2020-02-08,3
India,2020-02-09,3
India,2020-02-10,3
India,2020-02-11,3
India,2020-02-12,3
India,2020-02-13,3
India,2020-02-14,3
India,2020-02-15,3
India,2020-02-16,3
India,2020-02-17,3
India,2020-02-18,3
India,2020-02-19,3
India,2020-02-20,3
India,2020-02-21,3
India,2020-02-22,3
India,2020-02-23,3
India,2020-02-24,3
India,2020-02-25,3
India,2020-02-26,3
India,2020-02-27,3
India,2020-02-28,3
India,2020-02-29,3
India,2020-03-01,3
India,2020-03-02,5
India,2020-03-03,5
India,2020-03-04,28
India,2020-03-05,30
India,2020-03-06,31
India,2020-03-07,34
India,2020-03-08,39
India,2020-03-09,43
India,2020-03-10,56
India,2020-03-11,62
India,2020-03-12,73
India,2020-03-13,82
India,2020-03-14,102
India,2020-03-15,113
India,2020-03-16,119
India,2020-03-17,142
India,2020-03-18,156
India,2020-03-19,194
India,2020-03-20,244
India,2020-03-21,330
India,2020-03-22,396
India,2020-03-23,499
India,2020-03-24,536
India,2020-03-25,657
India,2020-03-26,727
India,2020-03-27,887
India,2020-03-28,987
India,2020-03-29,1024
India,2020-03-30,1251
India,2020-03-31,1397
India,2020-04-01,1998
India,2020-04-02,2543
India,2020-04-03,2567
India,2020-04-04,3082
India,2020-04-05,3588
India,2020-04-06,4778
India,2020-04-07,5311
India,2020-04-08,5916
India,2020-04-09,6725
India,2020-04-10,7598
India,2020-04-11,8446
India,2020-04-12,9205
India,2020-04-13,10453
India,2020-04-14,11487
India,2020-04-15,12322
India,2020-04-16,13430
India,2020-04-17,14352
India,2020-04-18,15722
India,2020-04-19,17615
India,2020-04-20,18539
India,2020-04-21,20080
India,2020-04-22,21370
India,2020-04-23,23077
India,2020-04-24,24530
India,2020-04-25,26283
India,2020-04-26,27890
India,2020-04-27,29451
India,2020-04-28,31324
India,2020-04-29,33062
India,2020-04-30,34863
India,2020-05-01,37257
India,2020-05-02,39699
India,2020-05-03,42505
India,2020-05-04,46437
India,2020-05-05,49400
India,2020-05-06,52987
India,2020-05-07,56351
India,2020-05-08,59695
India,2020-05-09,62808
India,2020-05-10,67161
India,2020-05-11,70768
India,2020-05-12,74292
