Country/Region,Date,Total Number of Cases
Canada,5/15/2020,6515
Canada,5/16/2020,6587
Canada,5/17/2020,6644
Canada,5/18/2020,6683
Canada,5/19/2020,6716
Canada,5/20/2020,6735
Canada,5/21/2020,6768
Canada,5/22/2020,6800
Canada,5/23/2020,6818
Canada,5/24/2020,6860
Canada,5/25/2020,6879
Canada,5/26/2020,6901
Canada,5/27/2020,6926
Canada,5/28/2020,6955
Canada,5/29/2020,6979
Canada,5/30/2020,6992
Canada,5/31/2020,7010
Canada,6/1/2020,7044
Canada,6/2/2020,7057
Canada,6/3/2020,7076
Canada,6/4/2020,7091
Canada,6/5/2020,7098
Canada,6/6/2020,7138
Canada,6/7/2020,7138
Canada,6/8/2020,7202
Canada,6/9/2020,7229
Canada,6/10/2020,7276
Canada,6/11/2020,7316
Canada,6/12/2020,7346
Canada,6/13/2020,7383
Canada,6/14/2020,7433
Canada,6/15/2020,7453
Canada,6/16/2020,7482
Canada,6/17/2020,7530
Canada,6/18/2020,7579
Canada,6/19/2020,7625
Canada,6/20/2020,7673
Canada,6/21/2020,7704
Canada,6/22/2020,7736
Canada,6/23/2020,7781
Canada,6/24/2020,7825
Canada,6/25/2020,7851
Canada,6/26/2020,7888
Canada,6/27/2020,7957
Canada,6/28/2020,7996
Canada,6/29/2020,8067
Canada,6/30/2020,8108
Canada,7/1/2020,8108
Canada,7/2/2020,8202
Canada,7/3/2020,8259
Canada,7/4/2020,8259
Canada,7/5/2020,8259
Canada,7/6/2020,8389
Canada,7/7/2020,8436
Canada,7/8/2020,8482
Canada,7/9/2020,8519
Canada,7/10/2020,8596
Canada,7/11/2020,8596
Canada,7/12/2020,8596
Canada,7/13/2020,8826
Canada,7/14/2020,8912
Canada,7/15/2020,8994
Canada,7/16/2020,9114
Canada,7/17/2020,9219
Canada,7/18/2020,9219
Canada,7/19/2020,9219
Canada,7/20/2020,9587
Canada,7/21/2020,9728
Canada,7/22/2020,9728
Canada,7/23/2020,9975
Canada,7/24/2020,10086
Canada,7/25/2020,10086
Canada,7/26/2020,10086
Canada,7/27/2020,10390
Canada,7/28/2020,10470
Canada,7/29/2020,10603
Canada,7/30/2020,10716
Canada,7/31/2020,10843
Canada,1/22/2020,0
Canada,1/23/2020,0
Canada,1/24/2020,0
Canada,1/25/2020,0
Canada,1/26/2020,0
Canada,1/27/2020,0
Canada,1/28/2020,1
Canada,1/29/2020,1
Canada,1/30/2020,1
Canada,1/31/2020,1
Canada,2/1/2020,1
Canada,2/2/2020,1
Canada,2/3/2020,1
Canada,2/4/2020,1
Canada,2/5/2020,2
Canada,2/6/2020,2
Canada,2/7/2020,4
Canada,2/8/2020,4
Canada,2/9/2020,4
Canada,2/10/2020,4
Canada,2/11/2020,4
Canada,2/12/2020,4
Canada,2/13/2020,4
Canada,2/14/2020,4
Canada,2/15/2020,4
Canada,2/16/2020,4
Canada,2/17/2020,5
Canada,2/18/2020,5
Canada,2/19/2020,5
Canada,2/20/2020,5
Canada,2/21/2020,6
Canada,2/22/2020,6
Canada,2/23/2020,6
Canada,2/24/2020,6
Canada,2/25/2020,7
Canada,2/26/2020,7
Canada,2/27/2020,7
Canada,2/28/2020,7
Canada,2/29/2020,8
Canada,3/1/2020,8
Canada,3/2/2020,8
Canada,3/3/2020,9
Canada,3/4/2020,12
Canada,3/5/2020,13
Canada,3/6/2020,21
Canada,3/7/2020,21
Canada,3/8/2020,27
Canada,3/9/2020,32
Canada,3/10/2020,32
Canada,3/11/2020,39
Canada,3/12/2020,46
Canada,3/13/2020,64
Canada,3/14/2020,64
Canada,3/15/2020,73
Canada,3/16/2020,103
Canada,3/17/2020,103
Canada,3/18/2020,186
Canada,3/19/2020,231
Canada,3/20/2020,271
Canada,3/21/2020,424
Canada,3/22/2020,424
Canada,3/23/2020,472
Canada,3/24/2020,617
Canada,3/25/2020,617
Canada,3/26/2020,725
Canada,3/27/2020,725
Canada,3/28/2020,884
Canada,3/29/2020,884
Canada,3/30/2020,970
Canada,3/31/2020,1013
Canada,4/1/2020,1013
Canada,4/2/2020,1121
Canada,4/3/2020,1174
Canada,4/4/2020,1203
Canada,4/5/2020,1203
Canada,4/6/2020,1266
Canada,4/7/2020,1266
Canada,4/8/2020,1291
Canada,4/9/2020,1336
Canada,4/10/2020,1370
Canada,4/11/2020,1445
Canada,4/12/2020,1445
Canada,4/13/2020,1490
Canada,4/14/2020,1490
Canada,4/15/2020,1517
Canada,4/16/2020,1561
Canada,4/17/2020,1575
Canada,4/18/2020,1618
Canada,4/19/2020,1647
Canada,4/20/2020,1647
Canada,4/21/2020,1724
Canada,4/22/2020,1795
Canada,4/23/2020,1824
Canada,4/24/2020,1853
Canada,4/25/2020,1948
Canada,4/26/2020,1948
Canada,4/27/2020,1998
Canada,4/28/2020,2053
Canada,4/29/2020,2087
Canada,4/30/2020,2112
Canada,5/1/2020,2145
Canada,5/2/2020,2171
Canada,5/3/2020,2171
Canada,5/4/2020,2224
Canada,5/5/2020,2232
Canada,5/6/2020,2255
Canada,5/7/2020,2288
Canada,5/8/2020,2315
Canada,5/9/2020,2330
Canada,5/10/2020,2330
Canada,5/11/2020,2353
Canada,5/12/2020,2360
Canada,5/13/2020,2376
Canada,5/14/2020,2392
Canada,5/15/2020,2407
Canada,5/16/2020,2428
Canada,5/17/2020,2428
Canada,5/18/2020,2444
Canada,5/19/2020,2446
Canada,5/20/2020,2467
Canada,5/21/2020,2479
Canada,5/22/2020,2507
Canada,5/23/2020,2517
Canada,5/24/2020,2517
Canada,5/25/2020,2530
Canada,5/26/2020,2541
Canada,5/27/2020,2550
Canada,5/28/2020,2558
Canada,5/29/2020,2562
Canada,5/30/2020,2573
Canada,5/31/2020,2573
Canada,6/1/2020,2597
Canada,6/2/2020,2601
Canada,6/3/2020,2623
Canada,6/4/2020,2632
Canada,6/5/2020,2632
Canada,6/6/2020,2632
Canada,6/7/2020,2632
Canada,6/8/2020,2659
Canada,6/9/2020,2669
Canada,6/10/2020,2680
Canada,6/11/2020,2694
Canada,6/12/2020,2709
Canada,6/13/2020,2709
Canada,6/14/2020,2709
Canada,6/15/2020,2745
Canada,6/16/2020,2756
Canada,6/17/2020,2775
Canada,6/18/2020,2783
Canada,6/19/2020,2790
Canada,6/20/2020,2790
Canada,6/21/2020,2790
Canada,6/22/2020,2822
Canada,6/23/2020,2835
Canada,6/24/2020,2849
Canada,6/25/2020,2869
Canada,6/26/2020,2878
Canada,6/27/2020,2878
Canada,6/28/2020,2878
Canada,6/29/2020,2904
Canada,6/30/2020,2916
Canada,7/1/2020,2916
Canada,7/2/2020,2940
Canada,7/3/2020,2947
Canada,7/4/2020,2947
Canada,7/5/2020,2947
Canada,7/6/2020,2978
Canada,7/7/2020,2990
Canada,7/8/2020,3008
Canada,7/9/2020,3028
Canada,7/10/2020,3053
Canada,7/11/2020,3053
Canada,7/12/2020,3053
Canada,7/13/2020,3053
Canada,7/14/2020,3128
Canada,7/15/2020,3149
Canada,7/16/2020,3170
Canada,7/17/2020,3198
Canada,7/18/2020,3198
Canada,7/19/2020,3198
Canada,7/20/2020,3300
Canada,7/21/2020,3328
Canada,7/22/2020,3328
Canada,7/23/2020,3392
Canada,7/24/2020,3392
Canada,7/25/2020,3419
Canada,7/26/2020,3419
Canada,7/27/2020,3500
Canada,7/28/2020,3523
Canada,7/29/2020,3562
Canada,7/30/2020,3591
Canada,7/31/2020,3641
Canada,1/22/2020,0
Canada,1/23/2020,0
Canada,1/24/2020,0
Canada,1/25/2020,0
Canada,1/26/2020,0
Canada,1/27/2020,0
Canada,1/28/2020,0
Canada,1/29/2020,0
Canada,1/30/2020,0
Canada,1/31/2020,0
Canada,2/1/2020,0
Canada,2/2/2020,0
Canada,2/3/2020,0
Canada,2/4/2020,0
Canada,2/5/2020,0
Canada,2/6/2020,0
Canada,2/7/2020,0
Canada,2/8/2020,0
Canada,2/9/2020,0
Canada,2/10/2020,0
Canada,2/11/2020,0
Canada,2/12/2020,0
Canada,2/13/2020,0
Canada,2/14/2020,0
Canada,2/15/2020,0
Canada,2/16/2020,0
Canada,2/17/2020,0
Canada,2/18/2020,0
Canada,2/19/2020,0
Canada,2/20/2020,0
Canada,2/21/2020,0
Canada,2/22/2020,0
Canada,2/23/2020,0
Canada,2/24/2020,0
Canada,2/25/2020,0
Canada,2/26/2020,0
Canada,2/27/2020,0
Canada,2/28/2020,0
Canada,2/29/2020,0
Canada,3/1/2020,0
Canada,3/2/2020,0
Canada,3/3/2020,0
Canada,3/4/2020,0
Canada,3/5/2020,0
Canada,3/6/2020,0
Canada,3/7/2020,0
Canada,3/8/2020,0
Canada,3/9/2020,0
Canada,3/10/2020,0
Canada,3/11/2020,0
Canada,3/12/2020,0
Canada,3/13/2020,2
Canada,3/14/2020,2
Canada,3/15/2020,2
Canada,3/16/2020,2
Canada,3/17/2020,8
Canada,3/18/2020,9
Canada,3/19/2020,9
Canada,3/20/2020,10
Canada,3/21/2020,10
Canada,3/22/2020,13
Canada,3/23/2020,13
Canada,3/24/2020,13
Canada,3/25/2020,13
Canada,3/26/2020,13
Canada,3/27/2020,13
Canada,3/28/2020,13
Canada,3/29/2020,13
Canada,3/30/2020,13
Canada,3/31/2020,13
Canada,4/1/2020,13
Canada,4/2/2020,13
Canada,4/3/2020,13
Canada,4/4/2020,13
Canada,4/5/2020,13
Canada,4/6/2020,13
Canada,4/7/2020,13
Canada,4/8/2020,13
Canada,4/9/2020,13
Canada,4/10/2020,13
Canada,4/11/2020,13
Canada,4/12/2020,13
Canada,4/13/2020,13
Canada,4/14/2020,13
Canada,4/15/2020,13
Canada,4/16/2020,13
Canada,4/17/2020,13
Canada,4/18/2020,13
Canada,4/19/2020,13
Canada,4/20/2020,13
Canada,4/21/2020,13
Canada,4/22/2020,13
Canada,4/23/2020,13
Canada,4/24/2020,13
Canada,4/25/2020,13
Canada,4/26/2020,13
Canada,4/27/2020,13
Canada,4/28/2020,13
Canada,4/29/2020,13
Canada,4/30/2020,13
Canada,5/1/2020,13
Canada,5/2/2020,13
Canada,5/3/2020,13
Canada,5/4/2020,13
Canada,5/5/2020,13
Canada,5/6/2020,13
Canada,5/7/2020,13
Canada,5/8/2020,13
Canada,5/9/2020,13
Canada,5/10/2020,13
Canada,5/11/2020,13
Canada,5/12/2020,13
Canada,5/13/2020,13
Canada,5/14/2020,13
Canada,5/15/2020,13
Canada,5/16/2020,13
Canada,5/17/2020,13
Canada,5/18/2020,13
Canada,5/19/2020,13
Canada,5/20/2020,13
Canada,5/21/2020,13
Canada,5/22/2020,13
Canada,5/23/2020,13
Canada,5/24/2020,13
Canada,5/25/2020,13
Canada,5/26/2020,13
Canada,5/27/2020,13
Canada,5/28/2020,13
Canada,5/29/2020,13
Canada,5/30/2020,13
Canada,5/31/2020,13
Canada,6/1/2020,13
Canada,6/2/2020,13
Canada,6/3/2020,13
Canada,6/4/2020,13
Canada,6/5/2020,13
Canada,6/6/2020,13
Canada,6/7/2020,13
Canada,6/8/2020,13
Canada,6/9/2020,13
Canada,6/10/2020,13
Canada,6/11/2020,13
Canada,6/12/2020,13
Canada,6/13/2020,13
Canada,6/14/2020,13
Canada,6/15/2020,13
Canada,6/16/2020,13
Canada,6/17/2020,13
Canada,6/18/2020,13
Canada,6/19/2020,13
Canada,6/20/2020,13
Canada,6/21/2020,13
Canada,6/22/2020,13
Canada,6/23/2020,13
Canada,6/24/2020,13
Canada,6/25/2020,13
Canada,6/26/2020,13
Canada,6/27/2020,13
Canada,6/28/2020,13
Canada,6/29/2020,13
Canada,6/30/2020,13
Canada,7/1/2020,13
Canada,7/2/2020,13
Canada,7/3/2020,13
Canada,7/4/2020,13
Canada,7/5/2020,13
Canada,7/6/2020,13
Canada,7/7/2020,13
Canada,7/8/2020,13
Canada,7/9/2020,13
Canada,7/10/2020,13
Canada,7/11/2020,13
Canada,7/12/2020,13
Canada,7/13/2020,13
Canada,7/14/2020,13
Canada,7/15/2020,13
Canada,7/16/2020,13
Canada,7/17/2020,13
Canada,7/18/2020,13
Canada,7/19/2020,13
Canada,7/20/2020,13
Canada,7/21/2020,13
Canada,7/22/2020,13
Canada,7/23/2020,13
Canada,7/24/2020,13
Canada,7/25/2020,13
Canada,7/26/2020,13
Canada,7/27/2020,13
Canada,7/28/2020,13
Canada,7/29/2020,13
Canada,7/30/2020,13
Canada,7/31/2020,13
Canada,1/22/2020,0
Canada,1/23/2020,0
Canada,1/24/2020,0
Canada,1/25/2020,0
Canada,1/26/2020,0
Canada,1/27/2020,0
Canada,1/28/2020,0
Canada,1/29/2020,0
Canada,1/30/2020,0
Canada,1/31/2020,0
Canada,2/1/2020,0
Canada,2/2/2020,0
Canada,2/3/2020,0
Canada,2/4/2020,0
Canada,2/5/2020,0
Canada,2/6/2020,0
Canada,2/7/2020,0
Canada,2/8/2020,0
Canada,2/9/2020,0
Canada,2/10/2020,0
Canada,2/11/2020,0
Canada,2/12/2020,0
Canada,2/13/2020,0
Canada,2/14/2020,0
Canada,2/15/2020,0
Canada,2/16/2020,0
Canada,2/17/2020,0
Canada,2/18/2020,0
Canada,2/19/2020,0
Canada,2/20/2020,0
Canada,2/21/2020,0
Canada,2/22/2020,0
Canada,2/23/2020,0
Canada,2/24/2020,0
Canada,2/25/2020,0
Canada,2/26/2020,0
Canada,2/27/2020,0
Canada,2/28/2020,0
Canada,2/29/2020,0
Canada,3/1/2020,0
Canada,3/2/2020,0
Canada,3/3/2020,0
Canada,3/4/2020,0
Canada,3/5/2020,0
Canada,3/6/2020,0
Canada,3/7/2020,0
Canada,3/8/2020,0
Canada,3/9/2020,0
Canada,3/10/2020,0
Canada,3/11/2020,0
Canada,3/12/2020,0
Canada,3/13/2020,4
Canada,3/14/2020,4
Canada,3/15/2020,4
Canada,3/16/2020,7
Canada,3/17/2020,8
Canada,3/18/2020,15
Canada,3/19/2020,17
Canada,3/20/2020,17
Canada,3/21/2020,18
Canada,3/22/2020,20
Canada,3/23/2020,20
Canada,3/24/2020,21
Canada,3/25/2020,35
Canada,3/26/2020,36
Canada,3/27/2020,39
Canada,3/28/2020,64
Canada,3/29/2020,72
Canada,3/30/2020,96
Canada,3/31/2020,103
Canada,4/1/2020,127
Canada,4/2/2020,167
Canada,4/3/2020,182
Canada,4/4/2020,182
Canada,4/5/2020,203
Canada,4/6/2020,203
Canada,4/7/2020,217
Canada,4/8/2020,217
Canada,4/9/2020,221
Canada,4/10/2020,230
Canada,4/11/2020,243
Canada,4/12/2020,242
Canada,4/13/2020,246
Canada,4/14/2020,246
Canada,4/15/2020,246
Canada,4/16/2020,250
Canada,4/17/2020,250
Canada,4/18/2020,253
Canada,4/19/2020,254
Canada,4/20/2020,254
Canada,4/21/2020,255
Canada,4/22/2020,257
Canada,4/23/2020,262
Canada,4/24/2020,263
Canada,4/25/2020,267
Canada,4/26/2020,271
Canada,4/27/2020,273
Canada,4/28/2020,273
Canada,4/29/2020,275
Canada,4/30/2020,277
Canada,5/1/2020,281
Canada,5/2/2020,282
Canada,5/3/2020,282
Canada,5/4/2020,283
Canada,5/5/2020,284
Canada,5/6/2020,286
Canada,5/7/2020,283
Canada,5/8/2020,284
Canada,5/9/2020,284
Canada,5/10/2020,287
Canada,5/11/2020,289
Canada,5/12/2020,290
Canada,5/13/2020,290
Canada,5/14/2020,289
Canada,5/15/2020,289
Canada,5/16/2020,289
Canada,5/17/2020,289
Canada,5/18/2020,290
Canada,5/19/2020,290
Canada,5/20/2020,290
Canada,5/21/2020,290
Canada,5/22/2020,292
Canada,5/23/2020,292
Canada,5/24/2020,292
Canada,5/25/2020,292
Canada,5/26/2020,292
Canada,5/27/2020,292
Canada,5/28/2020,294
Canada,5/29/2020,294
Canada,5/30/2020,294
Canada,5/31/2020,295
Canada,6/1/2020,295
Canada,6/2/2020,297
Canada,6/3/2020,298
Canada,6/4/2020,298
Canada,6/5/2020,300
Canada,6/6/2020,300
Canada,6/7/2020,300
Canada,6/8/2020,300
Canada,6/9/2020,300
Canada,6/10/2020,300
Canada,6/11/2020,300
Canada,6/12/2020,301
Canada,6/13/2020,303
Canada,6/14/2020,304
Canada,6/15/2020,304
Canada,6/16/2020,304
Canada,6/17/2020,306
Canada,6/18/2020,308
Canada,6/19/2020,311
Canada,6/20/2020,313
Canada,6/21/2020,313
Canada,6/22/2020,314
Canada,6/23/2020,314
Canada,6/24/2020,315
Canada,6/25/2020,316
Canada,6/26/2020,318
Canada,6/27/2020,322
Canada,6/28/2020,322
Canada,6/29/2020,324
Canada,6/30/2020,325
Canada,7/1/2020,325
Canada,7/2/2020,325
Canada,7/3/2020,325
Canada,7/4/2020,325
Canada,7/5/2020,325
Canada,7/6/2020,325
Canada,7/7/2020,325
Canada,7/8/2020,325
Canada,7/9/2020,325
Canada,7/10/2020,325
Canada,7/11/2020,325
Canada,7/12/2020,325
Canada,7/13/2020,325
Canada,7/14/2020,330
Canada,7/15/2020,330
Canada,7/16/2020,331
Canada,7/17/2020,336
Canada,7/18/2020,337
Canada,7/19/2020,343
Canada,7/20/2020,354
Canada,7/21/2020,366
Canada,7/22/2020,374
Canada,7/23/2020,375
Canada,7/24/2020,384
Canada,7/25/2020,388
Canada,7/26/2020,394
Canada,7/27/2020,400
Canada,7/28/2020,405
Canada,7/29/2020,407
Canada,7/30/2020,409
Canada,7/31/2020,415
Canada,1/22/2020,0
Canada,1/23/2020,0
Canada,1/24/2020,0
Canada,1/25/2020,0
Canada,1/26/2020,0
Canada,1/27/2020,0
Canada,1/28/2020,0
Canada,1/29/2020,0
Canada,1/30/2020,0
Canada,1/31/2020,0
Canada,2/1/2020,0
Canada,2/2/2020,0
Canada,2/3/2020,0
Canada,2/4/2020,0
Canada,2/5/2020,0
Canada,2/6/2020,0
Canada,2/7/2020,0
Canada,2/8/2020,0
Canada,2/9/2020,0
Canada,2/10/2020,0
Canada,2/11/2020,0
Canada,2/12/2020,0
Canada,2/13/2020,0
Canada,2/14/2020,0
Canada,2/15/2020,0
Canada,2/16/2020,0
Canada,2/17/2020,0
Canada,2/18/2020,0
Canada,2/19/2020,0
Canada,2/20/2020,0
Canada,2/21/2020,0
Canada,2/22/2020,0
Canada,2/23/2020,0
Canada,2/24/2020,0
Canada,2/25/2020,0
Canada,2/26/2020,0
Canada,2/27/2020,0
Canada,2/28/2020,0
Canada,2/29/2020,0
Canada,3/1/2020,0
Canada,3/2/2020,0
Canada,3/3/2020,0
Canada,3/4/2020,0
Canada,3/5/2020,0
Canada,3/6/2020,0
Canada,3/7/2020,0
Canada,3/8/2020,0
Canada,3/9/2020,0
Canada,3/10/2020,0
Canada,3/11/2020,1
Canada,3/12/2020,1
Canada,3/13/2020,1
Canada,3/14/2020,1
Canada,3/15/2020,2
Canada,3/16/2020,6
Canada,3/17/2020,8
Canada,3/18/2020,11
Canada,3/19/2020,11
Canada,3/20/2020,11
Canada,3/21/2020,17
Canada,3/22/2020,17
Canada,3/23/2020,17
Canada,3/24/2020,18
Canada,3/25/2020,18
Canada,3/26/2020,33
Canada,3/27/2020,45
Canada,3/28/2020,51
